Vehicle_ID,Vehicle_Type,Fuel_Type,Route_Type,Vehicle_Age,Mileage,Usage_Hours,Driving_Score,Load_Capacity,Engine_Temperature,Tire_Pressure,Battery_Health,Fuel_Consumption_Before,Need_Maintenance,Service_Required,Breakdown_Risk,Vehicle_Health_Score,Estimated_Maintenance_Cost,Fuel_Consumption_After
VH00001,Truck,Hybrid,Rural,11,46195,4850,63,1059,84,31,41,13.93,0,No Service,Low,55.36,564,13.15
VH00002,Van,Electric,Highway,3,138138,9298,91,4686,112,37,53,11.36,0,No Service,Low,55.27,811,10.6
VH00003,Sedan,Hybrid,Urban,10,17736,5103,50,945,76,33,82,8.92,0,No Service,Low,67.86,1063,8.25
VH00004,Truck,Electric,Highway,2,58258,8005,41,1808,86,36,62,16.83,0,No Service,Low,58.34,560,15.7
VH00005,Truck,Electric,Rural,10,54511,4203,94,1916,88,37,98,17.47,0,No Service,Low,69.99,2152,16.83
VH00006,Van,Hybrid,Rural,3,276350,6367,83,2405,96,32,75,15.42,1,Battery Check,Medium,54.91,19147,13.83
VH00007,Sedan,Diesel,Rural,14,29348,1881,80,3710,109,35,36,12.55,1,Battery Check,Medium,53.01,7306,10.7
VH00008,Sedan,Electric,Rural,8,66057,1089,45,829,86,29,72,16.5,0,No Service,Low,57.79,533,15.53
VH00009,Truck,Hybrid,Highway,11,177153,11456,46,3897,101,35,36,12.82,1,Oil Change,Medium,36.98,10206,11.06
VH00010,SUV,Petrol,Urban,8,127615,7652,77,4178,85,35,90,6.93,0,No Service,Low,63.72,1859,5.55
VH00011,Truck,Hybrid,Highway,2,290176,5299,57,2053,129,29,61,5.23,1,Battery Check,Medium,49.91,15088,4.12
VH00012,Truck,Petrol,Urban,11,269246,3469,84,3502,99,34,88,14.44,1,Battery Check,High,53.56,18246,12.72
VH00013,Truck,Electric,Rural,2,170344,10370,48,4029,83,35,59,14.78,1,Engine Service,High,49.48,7948,13.1
VH00014,Truck,Hybrid,Urban,2,247560,477,92,3065,123,34,33,17.04,1,Engine Service,High,51.54,15790,15.13
VH00015,Van,Hybrid,Rural,10,124169,2477,67,3083,129,33,63,15.72,1,Battery Check,High,47.56,12687,13.8
VH00016,Sedan,Petrol,Highway,7,60670,6145,58,2772,119,30,38,13.31,1,Engine Service,High,45.17,5542,11.77
VH00017,Van,Hybrid,Urban,15,54237,381,43,3119,110,38,89,7.47,0,No Service,Low,61.89,1864,5.61
VH00018,Van,Hybrid,Highway,6,150605,3019,43,2314,87,38,53,12.72,0,No Service,Low,59.21,1165,12.14
VH00019,Van,Electric,Rural,12,281507,7084,52,4418,91,30,84,10.65,1,Oil Change,High,41.97,13956,9.87
VH00020,Truck,Hybrid,Highway,11,218872,3694,67,3713,121,35,58,8.02,1,Engine Service,High,49.53,8675,7.06
VH00021,SUV,Diesel,Rural,1,56304,1938,96,4387,126,31,83,15.39,0,No Service,Low,60.64,2560,13.7
VH00022,Sedan,Petrol,Rural,2,256888,6670,50,1722,85,37,80,6.94,0,No Service,Low,65.62,2002,6.38
VH00023,SUV,Hybrid,Rural,14,21819,11184,92,3607,118,35,51,13.19,1,Oil Change,Medium,47.87,10200,11.56
VH00024,Van,Petrol,Highway,1,22191,8506,41,3013,118,37,49,12.94,1,Battery Check,High,53.79,16195,11.43
VH00025,Van,Petrol,Highway,15,16499,4830,45,3051,85,33,66,8.95,0,No Service,Low,55.16,520,7.13
VH00026,SUV,Petrol,Urban,12,73001,2220,51,3938,95,30,80,10.58,1,Engine Service,High,52.95,5974,10.01
VH00027,SUV,Hybrid,Urban,11,120383,2970,94,2697,120,39,79,6.52,0,No Service,Low,68.37,2406,5.08
VH00028,SUV,Hybrid,Highway,7,27668,885,79,4638,112,37,95,5.33,0,No Service,Low,72.09,1997,4.68
VH00029,Van,Petrol,Highway,6,149834,7873,76,1820,75,29,91,5.17,0,No Service,Low,67.02,2948,4.58
VH00030,Van,Diesel,Highway,2,160320,1037,95,2866,120,28,73,7.27,0,No Service,Low,63.39,1431,5.34
VH00031,Sedan,Petrol,Highway,2,186016,9981,63,4813,76,39,52,16.27,1,Oil Change,Medium,52.72,3724,15.44
VH00032,Sedan,Diesel,Rural,2,217941,9548,91,4290,78,31,40,11.79,1,Battery Check,High,51.99,5725,11.01
VH00033,Van,Petrol,Rural,8,271566,3212,94,3035,113,35,83,6.52,0,No Service,Low,62.47,992,4.71
VH00034,SUV,Electric,Rural,14,116942,6532,99,2875,95,31,84,16.77,1,Battery Check,High,53.6,6045,15.8
VH00035,SUV,Petrol,Highway,7,23070,6798,48,2806,71,35,90,12.4,0,No Service,Low,65.07,2478,10.62
VH00036,Sedan,Petrol,Rural,1,101392,7537,65,3113,105,35,81,5.36,0,No Service,Low,66.57,2177,3.86
VH00037,Van,Hybrid,Rural,4,107164,4634,43,4714,72,38,51,14.92,0,No Service,Low,56.01,2592,14.13
VH00038,Sedan,Diesel,Urban,11,178879,9629,80,4885,123,28,32,11.15,1,Oil Change,High,32.63,3132,9.88
VH00039,Sedan,Electric,Urban,4,111277,5729,83,2162,90,33,94,11.93,0,No Service,Low,68.33,2221,10.44
VH00040,Truck,Diesel,Rural,7,14626,6271,43,724,113,38,87,12.97,0,No Service,Low,64.31,2258,11.39
VH00041,Truck,Electric,Rural,2,59270,8561,88,3300,72,37,72,6.23,0,No Service,Low,75.38,1946,5.0
VH00042,Truck,Petrol,Rural,4,12292,1590,91,1780,78,35,90,17.32,0,No Service,Low,76.55,1118,16.29
VH00043,SUV,Hybrid,Highway,1,287003,6141,73,4840,81,35,82,8.32,0,No Service,Low,60.8,2504,6.4
VH00044,Van,Hybrid,Urban,13,120986,10413,61,1021,77,28,62,13.08,1,Battery Check,High,48.57,16749,11.96
VH00045,Van,Diesel,Urban,15,11280,9972,52,2118,120,35,54,16.12,1,Battery Check,High,42.91,16395,14.58
VH00046,Van,Hybrid,Urban,13,155219,4869,54,4714,127,36,79,9.31,1,Engine Service,Medium,46.81,9405,7.56
VH00047,Van,Diesel,Rural,11,226424,6489,79,4182,106,38,76,13.16,1,Battery Check,High,51.83,4097,12.4
VH00048,Truck,Diesel,Highway,11,256522,8701,77,2101,90,33,87,17.86,1,Battery Check,Medium,49.37,3894,16.63
VH00049,SUV,Electric,Urban,4,208237,6741,80,2806,106,34,95,16.07,0,No Service,Low,57.35,2459,14.75
VH00050,SUV,Diesel,Urban,11,280778,9733,93,4327,109,33,42,15.13,1,Battery Check,Medium,37.78,12163,13.78
VH00051,Truck,Electric,Highway,15,151845,7255,82,1715,72,32,71,10.71,0,No Service,Low,58.36,1380,9.99
VH00052,SUV,Hybrid,Rural,14,158953,10550,94,1442,120,28,44,10.87,1,Battery Check,High,42.9,9851,10.33
VH00053,Truck,Diesel,Rural,1,149352,9083,83,4431,125,29,35,11.31,1,Oil Change,High,43.65,18319,9.81
VH00054,Van,Diesel,Urban,2,69593,5442,92,1653,110,37,71,13.98,0,No Service,Low,69.43,1585,12.54
VH00055,Truck,Petrol,Urban,2,166627,459,95,2705,90,29,64,6.88,0,No Service,Low,69.01,2449,5.33
VH00056,Van,Diesel,Highway,12,95472,4777,41,4249,95,38,35,16.19,1,Engine Service,Medium,44.07,10162,15.36
VH00057,Van,Diesel,Urban,10,168404,5239,41,760,93,36,47,5.24,0,No Service,Low,59.04,695,4.23
VH00058,Sedan,Petrol,Highway,12,100491,8714,82,889,115,33,72,7.21,0,No Service,Low,59.34,1436,5.85
VH00059,Truck,Petrol,Urban,3,96416,8412,47,4727,122,30,49,11.26,1,Battery Check,High,41.34,11468,10.68
VH00060,Sedan,Hybrid,Urban,8,63798,2320,77,907,129,30,82,8.28,0,No Service,Low,63.48,865,7.47
VH00061,Truck,Diesel,Urban,11,157227,4229,57,2543,121,37,77,9.75,0,No Service,Low,55.35,2880,7.93
VH00062,Truck,Hybrid,Rural,6,78486,11257,93,1066,103,37,56,9.32,0,No Service,Low,65.45,2893,8.59
VH00063,Sedan,Hybrid,Highway,6,194764,8362,68,3870,101,29,30,8.5,1,Oil Change,High,43.34,10563,7.75
VH00064,Sedan,Petrol,Highway,9,99338,3792,50,2479,96,34,43,9.94,1,Oil Change,High,54.53,12022,8.36
VH00065,Truck,Electric,Rural,8,147135,4730,95,2452,116,28,61,11.57,1,Oil Change,Medium,53.01,11622,9.74
VH00066,SUV,Hybrid,Rural,2,54690,8305,45,2506,99,28,96,11.19,0,No Service,Low,57.13,1891,9.24
VH00067,Van,Electric,Rural,15,167579,5525,48,4338,73,37,39,15.55,1,Oil Change,High,43.69,15915,13.8
VH00068,Sedan,Diesel,Highway,6,17661,4000,61,2815,71,30,55,9.01,0,No Service,Low,63.49,2526,7.44
VH00069,Van,Petrol,Urban,1,177261,11911,85,600,92,28,94,8.66,0,No Service,Low,64.44,2665,6.84
VH00070,SUV,Diesel,Rural,13,241366,8562,90,3944,124,38,79,11.56,1,Battery Check,Medium,49.15,5289,10.31
VH00071,SUV,Diesel,Rural,14,154129,5992,64,532,110,30,78,5.62,0,No Service,Low,56.31,2685,4.69
VH00072,SUV,Petrol,Rural,9,226848,11416,97,4831,129,39,61,6.45,1,Engine Service,Medium,50.71,8212,4.87
VH00073,Sedan,Diesel,Urban,4,153563,5713,70,831,73,36,94,15.44,0,No Service,Low,70.55,2968,14.33
VH00074,SUV,Petrol,Urban,4,203101,9875,60,4016,106,34,55,11.42,1,Oil Change,High,46.6,3327,10.35
VH00075,Sedan,Electric,Rural,9,44354,622,77,4715,80,36,98,5.86,0,No Service,Low,74.33,976,4.73
